"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"56110005";"Ponte Nova";2025-09-27 11:00:00;2025-09-27 10:00:00;2025-09-27 09:00:00;83;0;-1;0;-8;0;0;"DOCE";;;"2012";102,5;42;187;"10%-20%";
"56610000";"Piracicaba";2025-09-27 11:00:00;2025-09-27 10:00:00;2025-09-27 09:00:00;60;2;-2;2;-3;0;4;"DOCE";;;"1997";77;0;181;"30%-40%";
"56661000";"Nova Era";2025-09-27 11:15:00;2025-09-27 10:15:00;2025-09-27 09:15:00;50;4;6;7;8;0,2;1,2;"DOCE";;;"2022";57;35;123;"12%-25%";
"56696000";"Má De Carvalho";2025-09-27 10:30:00;2025-09-27 09:30:00;2025-09-27 08:30:00;87;1;1;1;-8;0;7,4;"DOCE";;;"2022";94,5;11;174;"40%-50%";
"56825000";"Naque Velho";2025-09-27 11:15:00;2025-09-27 10:15:00;2025-09-27 09:15:00;176;-1;1;-37;0;0;7;"DOCE";;;"2016";207;139;320;"20%-30%";
"56850000";"Governador Valadares";2025-09-27 11:15:00;2025-09-27 10:15:00;2025-09-27 09:15:00;107;6;6;-10;-12;0;2,8;"DOCE";;;"1997";134;75;255;"0%-10%";
"56994500";"Colatina";2025-09-27 08:15:00;2025-09-27 07:15:00;2025-09-27 06:15:00;88;0;;-16;-18;0;0,2;"DOCE";;;"2013";94,5;31;210;"40%-50%";
