"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"86472000";"Linha José Julio";2025-09-27 11:30:00;2025-09-27 10:30:00;2025-09-27 09:30:00;388;-26;92;-13;10;0;0;"TAQUARI";;;"2023";290;221;787;"57%-71%";
"86472600";"Santa Tereza";2025-09-27 10:45:00;2025-09-27 09:45:00;2025-09-27 08:45:00;351;-43;79;-30;-16;0;0;"TAQUARI";;;;;;;;
"86510000";"Muçum";2025-09-27 11:15:00;2025-09-27 10:15:00;2025-09-27 09:15:00;389;-27;116;0;15;0;0;"TAQUARI";;;"2020";243;100;1018;"70%-80%";
"86720000";"Encantado";2025-09-27 11:15:00;2025-09-27 10:15:00;2025-09-27 09:15:00;218;-23;111;3;-1;0;0;"TAQUARI";;;"2020";250;118;769;"30%-40%";
"86879300";"Estrela";2025-09-27 11:15:00;2025-09-27 10:15:00;2025-09-27 09:15:00;1326;-9;35;6;-17;0;0;"TAQUARI";;;"2023";1300;1288;1508;"50%-100%";
