"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"87160000";"Nova Palmira";2025-09-27 11:15:00;2025-09-27 10:15:00;2025-09-27 09:15:00;173;-8;32;-2;-8;0;0;"CAÍ";;;"2023";105;13;475;"70%-80%";
"87170000";"Barca Do Caí";2025-09-27 11:15:00;2025-09-27 10:15:00;2025-09-27 09:15:00;383;-85;135;0;-172;0;0;"CAÍ";;;"2023";295,5;165;1333;"60%-70%";
"87270000";"Passo Montenegro";2025-09-27 11:15:00;2025-09-27 10:15:00;2025-09-27 09:15:00;238;-97;98;-3;-145;0;0;"CAÍ";;;"1961";196;44;818;"60%-70%";
