"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"13450000";"ASSIS BRASIL";2025-03-25 17:15:00;2025-03-25 16:15:00;2025-03-25 15:15:00;324;-46;-124;-220;-125;0;0;"ACRE";NA;NA;"2012";254;190;306;"100%-Máxima";NA
"13470000";"BRASILEIA";2025-09-27 10:15:00;2025-09-27 09:15:00;2025-09-27 08:15:00;83;-2;-46;3;-9;0;20,6;"ACRE";NA;NA;"2024";187;96;355;"Mínima-0%";NA
"13550000";"XAPURI";2025-09-27 10:30:00;2025-09-27 09:30:00;2025-09-27 08:30:00;170;-7;4;-1;-5;0;13;"ACRE";NA;NA;"2015";269,5;158;459;"0%-10%";NA
"13568000";"CAPIXABA";2025-09-27 10:15:00;2025-09-27 09:15:00;2025-09-27 08:15:00;138;2;14;6;-14;0;14,6;"ACRE";NA;NA;NA;NA;NA;NA;NA;NA
"13578000";"RIO ROLA";2025-09-27 10:15:00;2025-09-27 09:15:00;2025-09-27 08:15:00;64;-2;-3;NA;-4;0;14,2;"DO ROLA";NA;NA;"2023";129;68;182;"Mínima-0%";NA
"13600002";"RIO BRANCO";2025-09-27 10:45:00;2025-09-27 09:45:00;2025-09-27 08:45:00;189;-16;13;-8;32;0;17,4;"ACRE";NA;NA;"2015";285;130;570;"10%-20%";NA
