"";"Dia + 7";"Dia + 14";"Dia + 21";"Dia + 28";"NA"
"Prev_Caceres";367;372;-;-;367
"Prev_Ladario";176;155;133;117;176
"";82;54;34;9;-13
"Prev_PMURT";263;234;214;207;263
