"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"58770000";"Cataguases";2025-09-26 22:00:00;2025-09-26 21:00:00;2025-09-26 20:00:00;89;0;-15;13;-14;0;0,8;"POMBA";;;"1979";92;56;197;"40%-50%";
"58790002";"Santo Antônio de Pádua II";2025-09-26 21:30:00;2025-09-26 20:30:00;2025-09-26 19:30:00;65;0;-28;7;-28;2,6;5,2;"POMBA";;;"2012";72;14;113;"40%-50%";
"58792100";"Aperibé";2025-09-20 08:45:00;2025-09-20 07:45:00;2025-09-20 06:45:00;59;-2;29;-7;15;0;0;"POMBA";;;"2022";47;25;104;"67%-83%";
"58940000";"Itaperuna";2025-09-26 22:15:00;2025-09-26 21:15:00;2025-09-26 20:15:00;184;5;5;9;-8;0,4;1,6;"MURIAÉ";;;"2008";183;140;241;"50%-60%";
"58960000";"Cardoso Moreira";2025-09-26 21:45:00;2025-09-26 20:45:00;2025-09-26 19:45:00;64;1;-4;7;-26;0,6;4;"MURIAÉ";;;"2008";73;-22;243;"40%-50%";
"58974000";"Campos";2025-09-26 22:15:00;2025-09-26 21:15:00;2025-09-26 20:15:00;460;-1;-16;-1;-17;1,8;20,2;"MURIAÉ";;;"1966";609;442;865;"0%-10%";
