"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"41340000";"Ponte Raul Soares";2025-09-27 11:00:00;2025-09-27 10:00:00;2025-09-27 09:00:00;36;2;1;2;-1;0;0;"DAS VELHAS";;;"2022";94;18;185;"0%-10%";
"41410000";"Jequitibá";2025-09-27 11:00:00;2025-09-27 10:00:00;2025-09-27 09:00:00;58;-2;1;0;-3;0;0,4;"DAS VELHAS";;;"2022";83;43;328;"10%-20%";
"41650002";"Ponto do Licínio";2025-09-27 11:00:00;2025-09-27 10:00:00;2025-09-27 09:00:00;142;4;3;3;1;0;0;"DAS VELHAS";;;"2022";150;128;206;"10%-20%";
"41780002";"Presidente Juscelino";2025-09-19 07:00:00;2025-09-19 06:00:00;2025-09-19 05:00:00;46;0;-1;-1;0;0;0;"PARAUNA";;;"2020";53;38;97;"10%-20%";
"41818000";"Santo Hipólito";2025-09-26 07:00:00;2025-09-26 06:00:00;2025-09-26 05:00:00;74;5;6;6;0;0;0;"DAS VELHAS";;;"2020";88,5;50;189;"10%-20%";
