"Site";"lat";"lon";"DA";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"15400000";-8,7414909061105;-63,9098491828945;976000;"PORTO VELHO";2025-09-27 12:15:00;2025-09-27 11:15:00;2025-09-27 10:15:00;254;-7;-35;-21;-37;46,4;50;"MADEIRA";;;"2014";354;146;911;"10%-20%";
"15250000";-10,7904128147678;-65,3402580392168;609000;"GUAJARA-MIRIM";2025-09-27 12:30:00;2025-09-27 11:30:00;2025-09-27 10:30:00;591;0;-14;-23;-22;0;2;"MAMORE";;;"2014";563;389;714;"70%-80%";
"15318000";-10,3504498489983;-65,360596199069;834000;"UHE JIRAU JUSANTE RIO BENI";2025-09-27 13:15:00;2025-09-27 12:15:00;2025-09-27 11:15:00;985;-2;-27;-53;-37;0;10,6;"MADEIRA";;;"2014";973;919;1053;"50%-75%";
"15326000";-9,77955908299952;-65,5197841260444;31100;"MORADA NOVA JUSANTE";2025-09-27 12:30:00;2025-09-27 11:30:00;2025-09-27 10:30:00;791;-4;-21;-23;-38;0;2,4;"ABUNÃ?";;;"2014";839;697;945;"20%-30%";
"15560000";-10,8710172967507;-61,9307115117515;32800;"JI-PARANA";2025-09-27 13:00:00;2025-09-27 12:00:00;2025-09-27 11:00:00;668;3;14;6;3;0;11,4;"MACHADO";;;"2022";649;610;683;"90%-100%";
"15630000";-7,50077540103552;-63,0102062595394;1090000;"HUMAITÁ";2025-09-27 12:30:00;2025-09-27 11:30:00;2025-09-27 10:30:00;1030;-4;-41;-17;-44;25,8;27,2;"MADEIRA";;;"2014";1042;919;1576;"30%-40%";
"15200000";;;;"Príncípe da Beira";2025-09-27 12:30:00;2025-09-27 11:30:00;2025-09-27 10:30:00;403;-1;2;-6;-19;0;24,2;"GUAPORÉ";348;;"2014";397,5;345;541;"50%-60%";
"15430000";;;;"Ariquemes";2025-09-27 13:00:00;2025-09-27 12:00:00;2025-09-27 11:00:00;167;57;-1;53;-2;2,4;9,4;"JAMARI";;;"2007";194;116;296;"20%-30%";
