"Data";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20"
2025-08-05;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852;597,999990301852
2025-08-06;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749;588,280443995749
2025-08-07;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232;577,611543848232
2025-08-08;586,480353424203;582,951792876504;576,258107008558;570,637412054372;582,914974192285;576,467721878063;578,265319629327;570,417234936563;576,419258778946;576,033507604154;575,225324038755;579,440197750491;579,803447432664;571,876160463075;586,558502643613;583,339833223384;578,114185112785;578,569050263094;579,509183979982;571,152524586242
2025-08-09;593,067946576984;586,045209323464;572,112759054524;563,699205343799;585,754779293783;576,08262945813;576,478053946542;561,97983078403;572,741250339668;571,805694479069;570,252455181493;577,263311669007;578,393887248933;564,631217389717;593,821358974554;584,315592990182;577,693697749104;579,626157404469;577,754337072543;563,261828294171
2025-08-10;593,388117221067;584,082964521076;565,534515329682;555,320164962575;583,748099961894;572,592975047192;571,513987485433;552,439849801743;566,763779981676;565,207652938961;563,41797296069;572,057760784805;573,600287052899;555,923677598957;595,025338543901;581,154153239647;573,693084767728;576,695722630673;572,926263432573;554,104359553128
2025-08-11;590,880685024297;580,62387207187;563,364478071112;551,414998513172;585,416648993114;574,16890440138;567,799245053211;542,543426133782;565,063022922319;557,53240324068;557,840699359538;566,167865844255;568,520246800134;548,087036057036;596,901682650038;582,030628482126;571,552208618814;578,39629966607;567,517187907127;547,065883917261
2025-08-12;587,353009035595;582,310864678021;564,855716763945;548,884955893293;600,320140900204;585,453651918385;565,606776986783;533,620502080881;571,482813259242;551,616882263939;554,460112047132;563,502917025175;565,970812077037;540,853555615095;601,408460278908;583,114193925006;570,774733991871;585,634904965574;566,333460239072;545,185479762599
2025-08-13;581,303624585486;585,391312400868;562,544316800835;543,7238451439;620,367781428756;591,695497171228;561,077752465448;524,263619512237;578,2502462818;544,298412261052;551,935237519042;558,635153702161;563,327953823949;533,98349192873;601,394623872792;580,267316118254;568,367694692246;590,850092344584;565,19583376985;546,222805927323
2025-08-14;573,400330257442;589,604181423263;557,334660957717;536,704548789749;647,967199900221;594,740976144759;554,961295198853;515,135584800552;579,243295089005;535,624653227804;548,623364362477;553,624588846141;559,992524796364;526,076232732579;598,702662443049;574,560892403453;563,065231427946;594,135643042626;563,774691918298;546,128754126165
2025-08-15;564,277023462733;594,648681846935;550,207628336703;528,173101551039;675,361055764299;594,828389687948;547,060495437088;507,116753789881;576,110081499893;525,894150885466;552,802925720016;549,604782063305;554,391789532764;517,087813525669;593,378437571504;566,852052093967;555,660306098068;593,266981288526;559,69359746134;548,390238472309
2025-08-16;557,5026388478;612,061483150682;541,692190030122;518,739773744443;689,41643663395;592,59449811405;538,352552198398;507,415771327083;570,777765650574;515,700324457646;568,841003801713;543,720507988384;553,01252570107;508,286985088048;591,448729310561;559,161887539639;547,314120283777;594,199423140479;553,255666222228;554,483677543207
2025-08-17;550,941697833038;638,50495327387;532,251421665526;513,186042726775;697,548663599162;589,627614943227;543,701165113633;514,247851686841;566,970586368457;510,851214754676;578,458841047949;536,454922519464;554,224127446188;511,580909482052;596,260397079807;575,210025361175;542,273505214197;612,510507302918;546,039787073818;559,852756482795
2025-08-18;545,755537973506;659,531712537009;522,135847157949;517,021134143139;707,127018793302;586,750138227899;554,78191537946;519,555494785133;576,986621932654;529,511769263874;591,715602349294;530,913497857337;553,103140294105;527,442141111475;599,384891282378;591,283390108521;540,644622841566;642,364342552586;538,906162050458;563,675936078341
2025-08-19;542,643838872479;671,198880725265;511,403331367433;516,25320828152;724,905484557199;586,645572679847;566,73135837789;520,300174173201;590,288067138359;542,742807374765;617,454998942521;528,089260484802;548,903943142857;558,992498835285;599,719484740264;601,582264147107;536,953859025816;658,926738094502;532,680295794648;568,380690309495
2025-08-20;538,243170525924;676,686214605122;500,298048025924;512,202260303545;737,298873943698;590,021206056638;576,299915072947;519,196388665859;595,325807220595;548,14074364288;645,588172137458;525,968756040789;542,61826574474;577,056472693054;600,408679838881;611,435764998933;531,125921537016;666,364584953156;524,97905960656;568,318951095508
