"Data";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20"
2025-09-17;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709;329,999941576709
2025-09-18;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164;326,281913968164
2025-09-19;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512;322,962833551512
2025-09-20;320,257492818676;323,164355057851;320,57044990285;326,577867662475;323,34857214522;326,631719800504;319,57782571791;319,700497262589;322,632752550408;319,731227961735;325,635718218312;320,179645773043;320,444965876362;323,18107081087;322,026073299204;329,490178372316;327,355097918619;324,98836403534;322,320144325464;319,993453142831
2025-09-21;317,330726515751;329,363055309751;323,134664575196;337,217737335015;325,004556182845;339,47260100838;316,97452562059;316,585735550202;321,114515055008;318,633844958677;330,178098468989;316,550263019319;318,206521024982;325,930085447883;323,648048771002;335,372834291769;329,517651821714;326,264933756092;323,707007498566;318,138027557987
2025-09-22;315,710623384237;333,583545593525;335,772289992536;349,030680036946;331,172762546997;352,587439470292;320,242772339226;311,931181346613;318,021867642405;321,71741728312;335,301303810356;311,261964757074;325,820969386963;328,502679888963;331,629660366945;342,522815755028;335,273342156924;329,370939867169;327,716573865761;316,091959710286
2025-09-23;328,820829277682;336,034011867084;358,021365519817;356,000961292454;345,474538812577;360,964320789054;325,443839634202;306,216341308562;313,304502907628;321,012382824012;336,964311843947;304,807306018318;347,767784379098;328,344210395023;337,465191051737;344,100217640754;346,209365944196;331,066275561559;332,908791997751;313,737672605104
2025-09-24;336,800370998935;336,190078295308;369,478556608969;364,114863552464;360,43646105744;363,456243113163;331,271599954814;299,364041352646;306,8888025916;318,690746270464;336,454930235916;300,1906560315;359,947709902149;325,559749523581;339,293377185464;342,020521097339;352,494245550466;329,370024992129;335,394756963104;309,469758034197
2025-09-25;343,148872296479;341,461584481865;379,680170743556;375,728051329509;390,861001351188;368,486023832772;340,584504831058;292,142121738178;299,954699542703;321,818550293309;338,190851940846;300,603777987509;378,511322369031;326,495796787856;343,380722046519;338,110172541335;362,87179549386;327,685077737611;334,345566938473;305,331577724567
2025-09-26;351,011321213817;349,011418518701;404,913279162729;394,856700430347;411,846740736608;373,840400735427;349,491387740535;284,295342957235;296,648332561758;329,356407799054;340,281534943829;305,09091880181;443,696695862331;326,377807811309;345,359935471176;340,740277264337;369,740559243049;352,253732093063;330,793290845417;304,969140492342
2025-09-27;364,287859644552;374,105502701935;429,298581111188;413,927232225297;430,385016568911;377,411574676852;368,681724942585;275,93091763458;292,100602183716;346,436818919823;339,040308796642;322,987159352233;489,44992124336;329,165679373675;347,891352603218;350,388698809478;374,613870186601;410,256029937868;325,185145391246;308,37625356835
2025-09-28;374,286435339786;410,581337230531;470,788599954929;440,41832978859;448,996483706609;388,234488475921;382,624627208566;276,486555312161;285,789076581853;369,368080145998;339,129771425409;337,209713053187;516,339596914904;340,48894055876;364,247218810887;361,481453463068;382,383631494461;449,125135137957;317,937641928133;308,102452250344
2025-09-29;379,685328701509;435,813011508052;505,706455073674;462,457373739028;457,345614904819;394,55530908969;391,692042327991;286,995837309424;278,260259904585;391,140551584385;336,214111074552;346,273592348733;536,502613187478;352,999372542933;377,580226931201;366,236242615243;387,438727703845;474,362986261711;317,72956852652;306,061103958985
2025-09-30;382,758185389146;455,574251202806;528,724573139459;477,264632286086;459,524573095733;395,351603485972;397,172231768799;301,342879890558;270,22573660246;415,643928053371;331,419080886832;350,578912130954;550,447757937061;365,007602146747;391,395841831113;368,643701900164;387,78589833306;492,956654527379;322,705532030468;308,952779573859
2025-10-01;385,297951274419;470,896580640096;543,988033107479;499,275568013;459,850164934882;393,936052803427;403,710757020814;313,76720200437;262,567271313621;434,136757034907;325,05984330114;356,102847497499;568,952620030662;380,027187465686;402,943315173579;372,726875812918;384,635310512797;509,889248140869;327,278953476996;323,32323672471
2025-10-02;385,840316449256;483,890507866379;553,876390424235;514,915530536767;456,871429521153;398,528369080294;410,11128929955;318,989996327399;255,083544731988;443,514809764185;317,771978816319;360,42498084037;580,148411737964;388,592242219907;410,579020860837;377,654896737352;381,254441327734;519,717674266943;327,866622874084;342,958268697016
