"Data";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20"
2025-09-10;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247;318,00012955247
2025-09-11;340,3806149249;378,918465858809;357,938352636147;336,633825142289;324,81627312605;391,609388058372;418,856273891954;337,731084653142;334,688438472004;331,953544729268;382,009128307302;325,122543775756;344,810791130695;367,86214135976;351,687660819135;303,409059767146;386,886928503345;356,047303161191;334,583381158908;355,847810655701
2025-09-12;339,585112977645;383,719175228231;367,248924191138;334,692480761521;323,250523508952;395,810284557389;424,063250962481;333,211361332914;328,71942257236;335,405150896934;386,030221043547;322,371417556958;346,446672684049;377,15687016815;351,400130686601;294,377038798688;391,145836329851;396,334211602407;332,450648361846;359,454141732461
2025-09-13;338,686442501044;387,079900050657;376,971099176319;330,285936783095;323,568597920725;401,703716658844;427,082682194617;337,04684036495;323,833007530113;335,913859616056;392,144898123218;320,604389483636;351,835630762021;385,196688327637;351,339015062706;284,931783938973;391,157318255985;433,456457897362;328,202347258203;368,224428385485
2025-09-14;338,337545867405;388,028101151892;387,736148996628;324,655145929833;324,214616218043;415,055874918555;427,910397032227;358,975127742633;323,589222866498;335,395474568472;396,904598392852;318,496453621773;356,917767072506;390,113561611806;352,084357020306;275,056686741646;392,183689098502;455,989498798878;322,394437465407;381,264676127611
2025-09-15;349,036305317986;387,56322102517;395,100482215566;320,590417367839;322,496647994095;433,344187957724;428,406950167734;376,402013356791;327,830944714579;333,556419843485;401,408129591616;314,120926403194;357,553862706786;399,295972346522;357,79265335823;266,455225185426;391,395301569527;472,633472465928;316,58416632968;390,016979314571
2025-09-16;360,300450101689;384,048350980529;399,754537312109;334,370976411237;319,57142677769;450,733758293387;430,985724813746;384,39166513701;363,795931529967;335,072514665194;404,507399263238;308,225996327816;355,358545090755;434,474252636691;364,621849353629;267,818979249472;390,058262840679;505,082602171223;317,163263100199;392,810902482419
2025-09-17;371,040461270695;379,503219755625;406,559179636149;343,179475166458;320,189740897094;460,243369495774;434,430324537007;391,14253768095;385,406306027417;336,327551954617;404,276867714858;301,254883140489;352,874604185683;464,20357891883;366,5119607388;269,477432739447;393,260986846172;530,728878501121;326,154205481778;391,305977285987
2025-09-18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2025-09-19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2025-09-20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2025-09-21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2025-09-22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2025-09-23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2025-09-24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2025-09-25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
